Nivel_Ensino,Area_Formacao,SQL,Python,Tempo_Experiencia,Nivel_Senioridade,Faixa_Salarial,UF,Technical_Skills,Salario_Medio
Pós-graduação,Outras Engenharias,1,1,de 4 a 6 anos,Sênior,de R$ 4.001/mês a R$ 6.000/mês,PR,2,5000.5
Pós-graduação,Outras Engenharias,1,1,de 1 a 2 anos,Júnior,de R$ 4.001/mês a R$ 6.000/mês,ES,2,5000.5
Pós-graduação,Outras Engenharias,1,1,de 3 a 4 anos,Pleno,de R$ 8.001/mês a R$ 12.000/mês,SP,2,10000.5
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 7 a 10 anos,Sênior,de R$ 20.001/mês a R$ 25.000/mês,RS,2,22500.5
Doutorado ou Phd,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,1,1,de 1 a 2 anos,Sênior,de R$ 16.001/mês a R$ 20.000/mês,PR,2,18000.5
Graduação/Bacharelado,Outras Engenharias,1,1,de 3 a 4 anos,Sênior,de R$ 8.001/mês a R$ 12.000/mês,SP,2,10000.5
Mestrado,Outras Engenharias,1,1,de 1 a 2 anos,Pleno,de R$ 8.001/mês a R$ 12.000/mês,DF,2,10000.5
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,0,Mais de 10 anos,Sênior,de R$ 6.001/mês a R$ 8.000/mês,SP,1,7000.5
Mestrado,Outras Engenharias,1,1,de 4 a 6 anos,Sênior,de R$ 8.001/mês a R$ 12.000/mês,RJ,2,10000.5
Graduação/Bacharelado,Outras Engenharias,1,1,de 4 a 6 anos,Sênior,de R$ 8.001/mês a R$ 12.000/mês,PI,2,10000.5
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 1 a 2 anos,Pleno,de R$ 8.001/mês a R$ 12.000/mês,RS,2,10000.5
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 7 a 10 anos,Sênior,de R$ 12.001/mês a R$ 16.000/mês,PR,2,14000.5
Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,0,0,de 5 a 6 anos,Sênior,de R$ 6.001/mês a R$ 8.000/mês,RS,0,7000.5
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 3 a 4 anos,Sênior,de R$ 12.001/mês a R$ 16.000/mês,SE,2,14000.5
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 1 a 2 anos,Pleno,de R$ 8.001/mês a R$ 12.000/mês,CE,2,10000.5
Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,1,1,de 1 a 2 anos,Pleno,de R$ 4.001/mês a R$ 6.000/mês,RS,2,5000.5
Mestrado,Outras Engenharias,1,1,de 4 a 6 anos,Sênior,de R$ 12.001/mês a R$ 16.000/mês,SP,2,14000.5
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 7 a 10 anos,Sênior,de R$ 8.001/mês a R$ 12.000/mês,DF,2,10000.5
Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,1,1,de 3 a 4 anos,Pleno,de R$ 4.001/mês a R$ 6.000/mês,SC,2,5000.5
Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,1,1,de 3 a 4 anos,Pleno,de R$ 8.001/mês a R$ 12.000/mês,SP,2,10000.5
Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,0,1,de 1 a 2 anos,Júnior,de R$ 6.001/mês a R$ 8.000/mês,SP,1,7000.5
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 1 a 2 anos,Sênior,de R$ 8.001/mês a R$ 12.000/mês,SP,2,10000.5
Mestrado,Outras Engenharias,1,1,de 3 a 4 anos,Pleno,de R$ 6.001/mês a R$ 8.000/mês,BA,2,7000.5
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,Mais de 10 anos,Sênior,de R$ 16.001/mês a R$ 20.000/mês,SP,2,18000.5
Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,1,1,de 3 a 4 anos,Sênior,de R$ 12.001/mês a R$ 16.000/mês,SP,2,14000.5
Pós-graduação,Outras Engenharias,1,1,de 3 a 4 anos,Pleno,de R$ 12.001/mês a R$ 16.000/mês,ES,2,14000.5
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,Mais de 10 anos,Sênior,de R$ 16.001/mês a R$ 20.000/mês,,2,18000.5
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 3 a 4 anos,Sênior,de R$ 8.001/mês a R$ 12.000/mês,SP,2,10000.5
Graduação/Bacharelado,Outras Engenharias,1,1,de 5 a 6 anos,Sênior,de R$ 8.001/mês a R$ 12.000/mês,PR,2,10000.5
Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,1,1,de 4 a 6 anos,Pleno,de R$ 8.001/mês a R$ 12.000/mês,BA,2,10000.5
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 3 a 4 anos,Pleno,de R$ 12.001/mês a R$ 16.000/mês,SP,2,14000.5
Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 1 a 2 anos,Júnior,de R$ 4.001/mês a R$ 6.000/mês,RS,2,5000.5
Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 7 a 10 anos,Sênior,de R$ 16.001/mês a R$ 20.000/mês,RJ,2,18000.5
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 1 a 2 anos,Pleno,de R$ 4.001/mês a R$ 6.000/mês,SP,2,5000.5
Doutorado ou Phd,Outra opção,1,1,de 1 a 2 anos,Júnior,de R$ 4.001/mês a R$ 6.000/mês,RS,2,5000.5
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,Mais de 10 anos,Sênior,de R$ 8.001/mês a R$ 12.000/mês,SC,2,10000.5
Doutorado ou Phd,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,1,1,de 7 a 10 anos,Sênior,de R$ 8.001/mês a R$ 12.000/mês,GO,2,10000.5
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,0,de 3 a 4 anos,Pleno,de R$ 6.001/mês a R$ 8.000/mês,SP,1,7000.5
Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,1,1,de 1 a 2 anos,Pleno,de R$ 6.001/mês a R$ 8.000/mês,RS,2,7000.5
Graduação/Bacharelado,Outras Engenharias,1,1,de 1 a 2 anos,Júnior,de R$ 4.001/mês a R$ 6.000/mês,PR,2,5000.5
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 4 a 6 anos,Sênior,de R$ 6.001/mês a R$ 8.000/mês,PR,2,7000.5
Pós-graduação,Outras Engenharias,1,0,de 1 a 2 anos,Pleno,de R$ 6.001/mês a R$ 8.000/mês,SP,1,7000.5
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,0,de 3 a 4 anos,Sênior,de R$ 12.001/mês a R$ 16.000/mês,SP,1,14000.5
Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,1,1,de 1 a 2 anos,Pleno,de R$ 6.001/mês a R$ 8.000/mês,RJ,2,7000.5
Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,1,1,de 3 a 4 anos,Pleno,de R$ 8.001/mês a R$ 12.000/mês,SP,2,10000.5
Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,1,1,de 1 a 2 anos,Pleno,de R$ 8.001/mês a R$ 12.000/mês,MG,2,10000.5
Graduação/Bacharelado,Outra opção,0,1,de 3 a 4 anos,Pleno,de R$ 6.001/mês a R$ 8.000/mês,RJ,1,7000.5
Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,1,0,de 5 a 6 anos,Sênior,de R$ 4.001/mês a R$ 6.000/mês,RJ,1,5000.5
Graduação/Bacharelado,Outras Engenharias,1,1,de 3 a 4 anos,Sênior,de R$ 8.001/mês a R$ 12.000/mês,BA,2,10000.5
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 3 a 4 anos,Pleno,de R$ 8.001/mês a R$ 12.000/mês,SC,2,10000.5
Mestrado,Economia/ Administração / Contabilidade / Finanças/ Negócios,1,0,de 4 a 6 anos,Sênior,de R$ 6.001/mês a R$ 8.000/mês,SC,1,7000.5
Mestrado,Outras Engenharias,1,1,de 4 a 6 anos,Pleno,de R$ 6.001/mês a R$ 8.000/mês,GO,2,7000.5
Mestrado,Outras Engenharias,1,1,de 7 a 10 anos,Sênior,de R$ 16.001/mês a R$ 20.000/mês,SP,2,18000.5
Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,1,0,de 4 a 6 anos,Júnior,de R$ 6.001/mês a R$ 8.000/mês,PR,1,7000.5
Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,1,1,de 4 a 6 anos,Sênior,de R$ 12.001/mês a R$ 16.000/mês,SP,2,14000.5
Graduação/Bacharelado,Outras Engenharias,1,0,de 3 a 4 anos,Sênior,de R$ 6.001/mês a R$ 8.000/mês,RJ,1,7000.5
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 7 a 10 anos,Sênior,de R$ 12.001/mês a R$ 16.000/mês,SP,2,14000.5
Pós-graduação,Outras Engenharias,1,1,de 3 a 4 anos,Pleno,de R$ 6.001/mês a R$ 8.000/mês,MG,2,7000.5
Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,1,0,de 7 a 10 anos,Sênior,de R$ 8.001/mês a R$ 12.000/mês,SP,1,10000.5
Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,1,1,de 4 a 6 anos,Pleno,de R$ 12.001/mês a R$ 16.000/mês,SP,2,14000.5
Pós-graduação,Outras Engenharias,1,1,de 4 a 6 anos,Sênior,de R$ 12.001/mês a R$ 16.000/mês,SP,2,14000.5
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,0,de 1 a 2 anos,Pleno,de R$ 4.001/mês a R$ 6.000/mês,BA,1,5000.5
Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,1,0,de 4 a 6 anos,Sênior,de R$ 12.001/mês a R$ 16.000/mês,SP,1,14000.5
Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,1,1,de 5 a 6 anos,Sênior,de R$ 8.001/mês a R$ 12.000/mês,RS,2,10000.5
Pós-graduação,Outras Engenharias,0,0,de 3 a 4 anos,Sênior,de R$ 12.001/mês a R$ 16.000/mês,SC,0,14000.5
Pós-graduação,Ciências Sociais,1,1,de 7 a 10 anos,Sênior,de R$ 8.001/mês a R$ 12.000/mês,SP,2,10000.5
Pós-graduação,Outras Engenharias,1,0,de 1 a 2 anos,Pleno,de R$ 4.001/mês a R$ 6.000/mês,CE,1,5000.5
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,0,de 3 a 4 anos,Sênior,de R$ 16.001/mês a R$ 20.000/mês,PR,1,18000.5
Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 1 a 2 anos,Pleno,de R$ 4.001/mês a R$ 6.000/mês,RJ,2,5000.5
Pós-graduação,Outras Engenharias,0,1,de 5 a 6 anos,Sênior,de R$ 12.001/mês a R$ 16.000/mês,SP,1,14000.5
Pós-graduação,Outras Engenharias,1,1,de 7 a 10 anos,Sênior,de R$ 12.001/mês a R$ 16.000/mês,CE,2,14000.5
Doutorado ou Phd,Química / Física,0,1,de 3 a 4 anos,Sênior,de R$ 8.001/mês a R$ 12.000/mês,SE,1,10000.5
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,0,de 5 a 6 anos,Pleno,de R$ 4.001/mês a R$ 6.000/mês,RJ,1,5000.5
Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,1,1,Menos de 1 ano,Júnior,de R$ 4.001/mês a R$ 6.000/mês,SC,2,5000.5
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 3 a 4 anos,Pleno,de R$ 4.001/mês a R$ 6.000/mês,PA,2,5000.5
Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,1,1,de 1 a 2 anos,Júnior,de R$ 4.001/mês a R$ 6.000/mês,RJ,2,5000.5
Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,1,0,Mais de 10 anos,Sênior,de R$ 6.001/mês a R$ 8.000/mês,MG,1,7000.5
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 1 a 2 anos,Pleno,de R$ 6.001/mês a R$ 8.000/mês,GO,2,7000.5
Não tenho graduação formal,,1,1,de 1 a 2 anos,Pleno,de R$ 4.001/mês a R$ 6.000/mês,BA,2,5000.5
Pós-graduação,Outras Engenharias,1,1,de 1 a 2 anos,Júnior,de R$ 8.001/mês a R$ 12.000/mês,RJ,2,10000.5
Pós-graduação,Outras Engenharias,1,0,de 1 a 2 anos,Júnior,de R$ 6.001/mês a R$ 8.000/mês,PR,1,7000.5
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,0,de 7 a 10 anos,Sênior,de R$ 12.001/mês a R$ 16.000/mês,MG,1,14000.5
Graduação/Bacharelado,Outras Engenharias,1,0,de 7 a 10 anos,Sênior,de R$ 8.001/mês a R$ 12.000/mês,SP,1,10000.5
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 1 a 2 anos,Pleno,de R$ 8.001/mês a R$ 12.000/mês,SC,2,10000.5
Mestrado,Química / Física,1,1,de 4 a 6 anos,Sênior,de R$ 8.001/mês a R$ 12.000/mês,SP,2,10000.5
Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação/ TI,0,1,de 3 a 4 anos,Pleno,de R$ 6.001/mês a R$ 8.000/mês,AM,1,7000.5
Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,1,1,de 3 a 4 anos,Sênior,de R$ 12.001/mês a R$ 16.000/mês,SP,2,14000.5
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 7 a 10 anos,Sênior,de R$ 12.001/mês a R$ 16.000/mês,SP,2,14000.5
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,Menos de 1 ano,Pleno,de R$ 4.001/mês a R$ 6.000/mês,PR,2,5000.5
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 3 a 4 anos,Sênior,de R$ 4.001/mês a R$ 6.000/mês,PR,2,5000.5
Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,1,0,de 3 a 4 anos,Pleno,de R$ 6.001/mês a R$ 8.000/mês,RJ,1,7000.5
Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,1,0,de 1 a 2 anos,Pleno,de R$ 6.001/mês a R$ 8.000/mês,SP,1,7000.5
Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,0,de 1 a 2 anos,Pleno,de R$ 6.001/mês a R$ 8.000/mês,SC,1,7000.5
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 4 a 6 anos,Pleno,de R$ 4.001/mês a R$ 6.000/mês,MG,2,5000.5
Graduação/Bacharelado,Outras Engenharias,1,1,de 1 a 2 anos,Sênior,de R$ 6.001/mês a R$ 8.000/mês,MG,2,7000.5
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 4 a 6 anos,Pleno,de R$ 6.001/mês a R$ 8.000/mês,GO,2,7000.5
Mestrado,Outras Engenharias,1,1,de 3 a 4 anos,Pleno,de R$ 4.001/mês a R$ 6.000/mês,MG,2,5000.5
Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação/ TI,0,1,de 3 a 4 anos,Pleno,de R$ 8.001/mês a R$ 12.000/mês,MG,1,10000.5
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 4 a 6 anos,Sênior,de R$ 6.001/mês a R$ 8.000/mês,SP,2,7000.5
Pós-graduação,Outras Engenharias,1,1,de 3 a 4 anos,Sênior,de R$ 8.001/mês a R$ 12.000/mês,SP,2,10000.5
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 1 a 2 anos,Sênior,de R$ 12.001/mês a R$ 16.000/mês,DF,2,14000.5
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,Mais de 10 anos,Sênior,de R$ 8.001/mês a R$ 12.000/mês,SP,2,10000.5
Pós-graduação,Outras Engenharias,0,0,de 1 a 2 anos,Sênior,de R$ 8.001/mês a R$ 12.000/mês,SP,0,10000.5
Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,1,1,Mais de 10 anos,Pleno,de R$ 8.001/mês a R$ 12.000/mês,PR,2,10000.5
Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,1,0,de 1 a 2 anos,Pleno,de R$ 6.001/mês a R$ 8.000/mês,BA,1,7000.5
Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo,1,1,de 3 a 4 anos,Pleno,de R$ 8.001/mês a R$ 12.000/mês,SP,2,10000.5
Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 4 a 6 anos,Sênior,de R$ 8.001/mês a R$ 12.000/mês,SP,2,10000.5
Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,1,0,de 1 a 2 anos,Pleno,de R$ 6.001/mês a R$ 8.000/mês,RS,1,7000.5
Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo,0,0,de 3 a 4 anos,Pleno,de R$ 4.001/mês a R$ 6.000/mês,PR,0,5000.5
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,0,de 1 a 2 anos,Sênior,de R$ 8.001/mês a R$ 12.000/mês,SP,1,10000.5
Não tenho graduação formal,,1,1,de 4 a 6 anos,Sênior,de R$ 6.001/mês a R$ 8.000/mês,SP,2,7000.5
Graduação/Bacharelado,Outras Engenharias,1,1,de 1 a 2 anos,Pleno,de R$ 4.001/mês a R$ 6.000/mês,ES,2,5000.5
Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,1,1,de 3 a 4 anos,Pleno,de R$ 6.001/mês a R$ 8.000/mês,MG,2,7000.5
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 4 a 6 anos,Sênior,de R$ 12.001/mês a R$ 16.000/mês,SP,2,14000.5
Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,1,1,de 4 a 6 anos,Pleno,de R$ 4.001/mês a R$ 6.000/mês,SP,2,5000.5
Pós-graduação,Outras Engenharias,0,0,Mais de 10 anos,Pleno,de R$ 6.001/mês a R$ 8.000/mês,MA,0,7000.5
Pós-graduação,Outras Engenharias,1,1,de 1 a 2 anos,Pleno,de R$ 4.001/mês a R$ 6.000/mês,SP,2,5000.5
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,0,1,de 5 a 6 anos,Pleno,de R$ 8.001/mês a R$ 12.000/mês,SP,1,10000.5
Graduação/Bacharelado,Outras Engenharias,1,1,de 3 a 4 anos,Pleno,de R$ 8.001/mês a R$ 12.000/mês,SP,2,10000.5
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 5 a 6 anos,Sênior,de R$ 12.001/mês a R$ 16.000/mês,BA,2,14000.5
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 1 a 2 anos,Sênior,de R$ 12.001/mês a R$ 16.000/mês,SP,2,14000.5
Graduação/Bacharelado,Outras Engenharias,1,0,de 1 a 2 anos,Pleno,de R$ 6.001/mês a R$ 8.000/mês,AL,1,7000.5
Pós-graduação,Outras Engenharias,1,1,de 4 a 6 anos,Sênior,de R$ 8.001/mês a R$ 12.000/mês,SP,2,10000.5
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 3 a 4 anos,Júnior,de R$ 6.001/mês a R$ 8.000/mês,SP,2,7000.5
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,0,de 1 a 2 anos,Pleno,de R$ 6.001/mês a R$ 8.000/mês,BA,1,7000.5
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 3 a 4 anos,Pleno,de R$ 12.001/mês a R$ 16.000/mês,MG,2,14000.5
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 1 a 2 anos,Júnior,de R$ 4.001/mês a R$ 6.000/mês,MG,2,5000.5
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 1 a 2 anos,Pleno,de R$ 8.001/mês a R$ 12.000/mês,SP,2,10000.5
Graduação/Bacharelado,Outras Engenharias,1,1,de 3 a 4 anos,Pleno,de R$ 6.001/mês a R$ 8.000/mês,DF,2,7000.5
Graduação/Bacharelado,Outras Engenharias,1,1,de 1 a 2 anos,Júnior,de R$ 4.001/mês a R$ 6.000/mês,MG,2,5000.5
Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,0,0,Menos de 1 ano,Pleno,de R$ 4.001/mês a R$ 6.000/mês,SP,0,5000.5
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 3 a 4 anos,Pleno,de R$ 6.001/mês a R$ 8.000/mês,RS,2,7000.5
Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,1,1,de 1 a 2 anos,Júnior,de R$ 4.001/mês a R$ 6.000/mês,SP,2,5000.5
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 4 a 6 anos,Pleno,de R$ 8.001/mês a R$ 12.000/mês,MG,2,10000.5
Doutorado ou Phd,Outras Engenharias,1,1,de 1 a 2 anos,Pleno,de R$ 4.001/mês a R$ 6.000/mês,RS,2,5000.5
Mestrado,Economia/ Administração / Contabilidade / Finanças/ Negócios,1,1,de 3 a 4 anos,Pleno,de R$ 8.001/mês a R$ 12.000/mês,,2,10000.5
Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,1,0,de 4 a 6 anos,Pleno,de R$ 6.001/mês a R$ 8.000/mês,RS,1,7000.5
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,0,0,Menos de 1 ano,Júnior,de R$ 4.001/mês a R$ 6.000/mês,GO,0,5000.5
Pós-graduação,Outras Engenharias,1,1,de 3 a 4 anos,Sênior,de R$ 8.001/mês a R$ 12.000/mês,SC,2,10000.5
Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,0,0,Mais de 10 anos,Sênior,de R$ 8.001/mês a R$ 12.000/mês,SP,0,10000.5
Mestrado,Outras Engenharias,1,0,de 3 a 4 anos,Pleno,de R$ 4.001/mês a R$ 6.000/mês,MG,1,5000.5
Mestrado,Outras Engenharias,1,1,de 3 a 4 anos,Sênior,de R$ 8.001/mês a R$ 12.000/mês,ES,2,10000.5
Mestrado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,1,1,de 1 a 2 anos,Pleno,de R$ 8.001/mês a R$ 12.000/mês,PR,2,10000.5
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 1 a 2 anos,Pleno,de R$ 8.001/mês a R$ 12.000/mês,SP,2,10000.5
Graduação/Bacharelado,Outras Engenharias,1,1,de 3 a 4 anos,Sênior,de R$ 6.001/mês a R$ 8.000/mês,SP,2,7000.5
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 1 a 2 anos,Sênior,de R$ 12.001/mês a R$ 16.000/mês,MG,2,14000.5
Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 1 a 2 anos,Júnior,de R$ 4.001/mês a R$ 6.000/mês,RJ,2,5000.5
Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,1,1,de 4 a 6 anos,Sênior,de R$ 20.001/mês a R$ 25.000/mês,DF,2,22500.5
Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,1,1,de 1 a 2 anos,Pleno,de R$ 6.001/mês a R$ 8.000/mês,SP,2,7000.5
Doutorado ou Phd,Outras Engenharias,1,1,de 1 a 2 anos,Pleno,de R$ 4.001/mês a R$ 6.000/mês,SP,2,5000.5
